Parcelle;Traitement;Herbivorie_enveloppe;Herbivorie;Motte;Terre;PV;Rizohides;Lichen;Aul.pal;Aul.tur;Dic.acu;Dis.sp;Dre.arc;Hep.sp ;Mee.tri;Poh.sp;Ple.sch;Pol.sp;Rac.lan;Sco.cos;Sco.rev;Tom.nit;Rac.can;Cin.lat;Bry.pse;Rhi.pun;Rhi.gra;Phi.tom;Cal.ric;Bra.alb/Lep.rip;Autre.sp;Somme
ROC6;10;Non Brouté;Exclos;1;5;15;30;;;;;;5;;;;;;;;5;;;5;20;5;;;;;;90
ROC6;10;Non Brouté;Exclos;2;5;5;10;;;;;;;;;;;;;;5;;;;30;5;;;;;;60
ROC6;10;Non Brouté;Exclos;3;5;5;60;;;;;;;;;;;;;;;;;;;;;;;;25;95
ROC6;10;Non Brouté;Exclos;4;15;15;30;;;;;;;;5;;;;;;;;;;;5;;;;;25;95
ROC6;10;Brouté;Témoin;1;5;5;25;;;5;;;;;;;;;;;5;;;;;;;;;;40;85
ROC6;10;Brouté;Témoin;2;5;10;;;5;;;;;;5;;;;;;15;;;;50;;;;;;10;100
ROC6;10;Brouté;Témoin;3;10;10;15;;;;;;;;;;;;;15;;15;;;5;;;;15;;10;95
ROC6;10;Brouté;Témoin;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ROC6;14;Non Brouté;Exclos;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ROC6;14;Non Brouté;Exclos;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ROC6;14;Non Brouté;Exclos;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ROC6;14;Non Brouté;Exclos;4;;50;;;20;20;;;;;;;;;;;;;;;;;;;;;10;100
ROC6;14;Brouté;Témoin;1;25;5;25;;15;;;;;;5;;;;;;15;;;;;;10;;;;;100
ROC6;14;Brouté;Témoin;2;10;5;10;;;35;;;;;5;;;;;;20;;;;;15;;;;;;100
ROC6;14;Brouté;Témoin;3;10;20;30;;;15;;;;;10;;;;;;5;;;;;;5;;5;;;100
ROC6;14;Brouté;Témoin;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ROC7;1;Brouté;Témoin;1;15;20;10;;;10;;;;;5;;;;5;15;;;;10;10;;;;;;;100
ROC7;1;Brouté;Témoin;2;20;15;10;;;;;;;;5;;;;;20;;;;20;;;;;;;10;100
ROC7;1;Brouté;Témoin;3;10;30;10;;;;;;;;5;"
";;;5;15;;;5;15;;;;;;;5;100
ROC7;1;Brouté;Témoin;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ROC7;1;Non Brouté;Exclos;1;5;15;25;;25;;;;;;;;;;;;25;;;;;5;;;;;;100
ROC7;1;Non Brouté;Exclos;2;5;5;5;;;;;;;;;35;;40;;;5;;;;;;;;;;5;100
ROC7;1;Non Brouté;Exclos;3;20;10;15;5;;;;;;;;;;;;;25;5;;;;20;;;;;;100
ROC7;1;Non Brouté;Exclos;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ROC7;4;Brouté;Témoin;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ROC7;4;Brouté;Témoin;2;10;40;10;;10;5;;;;;10;;;;;5;10;;;;;;;;;;;100
ROC7;4;Brouté;Témoin;3;15;30;10;;10;;;5;;;5;;;;;10;10;;;;5;;;;;;;100
ROC7;4;Brouté;Témoin;4;15;25;10;;15;15;;;;;5;;;;;10;5;;;;;;;;;;;100
ROC7;4;Non Brouté;Exclos;1;10;10;10;;15;20;;;;;;10;;;20;5;;;;;;;;;;;;100
ROC7;4;Non Brouté;Exclos;2;10;20;10;;30;15;;;;;;;5;;;10;;;;;;;;;;;;100
ROC7;4;Non Brouté;Exclos;3;20;30;15;;;;;;;;;;;;;;15;;10;10;;;;;;;;100
ROC7;4;Non Brouté;Exclos;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ROC7;6;Non Brouté;Exclos;1;10;30;10;;10;10;;;;;;10;;5;;5;;;;;;;;;;;10;100
ROC7;6;Non Brouté;Exclos;2;10;20;20;;10;10;;;;;;10;;;;5;;;;;;;;;;;15;100
ROC7;6;Non Brouté;Exclos;3;15;20;15;;5;10;;;;;;10;;;;5;;;;;;;;;;;20;100
ROC7;6;Non Brouté;Exclos;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ROC7;6;Brouté;Témoin;1;20;40;10;;;;;;;;;;;;;;;;;;30;;;;;;;100
ROC7;6;Brouté;Témoin;2;30;30;20;;;;;;;;;;;;;;;;;10;10;;;;;;;100
ROC7;6;Brouté;Témoin;3;30;40;10;;;;;;;;;;;;;5;;;;;;10;;;;;5;100
ROC7;6;Brouté;Témoin;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ROC7;10;Brouté;Témoin;1;15;20;20;;15;;;;;;;;;10;;;;;;;;15;;;;;5;100
ROC7;10;Brouté;Témoin;2;10;20;25;;10;;;;10;;;;;10;;;;;;;;15;;;;;;100
ROC7;10;Brouté;Témoin;3;20;15;10;;15;;;10;;;;;;;;;;;;;15;10;"
";;;;5;100
ROC7;10;Brouté;Témoin;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ROC7;10;Non Brouté;Exclos;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ROC7;10;Non Brouté;Exclos;2;5;5;30;;10;5;;;;5;;30;;;;;;;;;5;;;;;;5;100
ROC7;10;Non Brouté;Exclos;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ROC7;10;Non Brouté;Exclos;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ROC7;14;Brouté;Témoin;1;15;20;15;;20;15;;;;;;15;;;;;;;;;;;;;;;;100
ROC7;14;Brouté;Témoin;2;10;25;20;;10;10;;;;;;15;;;;;;;;;;5;;;;;5;100
ROC7;14;Brouté;Témoin;3;15;15;15;;30;20;;;;;;;;;;;;;;;;;;;;5;;100
ROC7;14;Brouté;Témoin;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ROC7;14;Non Brouté;Exclos;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ROC7;14;Non Brouté;Exclos;2;;20;;;25;15;;;;;;;;;;;;;;;;;;;;20;20;100
ROC7;14;Non Brouté;Exclos;3;;;;;;;;;;;;;;;;;;;;;;;;;; ;;0
ROC7;14;Non Brouté;Exclos;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ROC8;1;Brouté;Témoin;1;10;15;25;5;;;;;;;;;;;;;5;;;;35;;;;5;;;100
ROC8;1;Brouté;Témoin;2;20;5;30;;;;;;;;;;;;;;10;;;20;15;;;;;;;100
ROC8;1;Brouté;Témoin;3;15;5;25;;;;;;;;;;;;;;10;;;25;10;;;;;;10;100
ROC8;1;Brouté;Témoin;4;15;5;30;;;;;;;;;;;;;;5;;;25;20;;;;;;;100
ROC8;1;Non Brouté;Exclos;1;25;15;;;;;;;;;;;;;;;30;;;;20;;;;;;10;100
ROC8;1;Non Brouté;Exclos;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ROC8;1;Non Brouté;Exclos;3;15;20;10;;5;;;;;;;;;;;;10;;;5;15;5;;;5;;5;95
ROC8;1;Non Brouté;Exclos;4;25;5;25;;;;;;;;;;;;;;15;;;15;;;;;5;;10;100
ROC8;4;Brouté;Témoin;1;15;25;15;;;;;;;;;;;;;15;;;;20;;;;;10;;;100
ROC8;4;Brouté;Témoin;2;20;20;10;;;;;;;;;;;;;10;;;;30;;;;;;;10;100
ROC8;4;Brouté;Témoin;3;15;25;15;;;;;;;;;;;;;20;;;;15;;;;;10;;;100
ROC8;4;Brouté;Témoin;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ROC8;4;Non Brouté;Exclos;1;30;20;10;;;;;;;;;;;;;10;10;;;;5;10;;;;;5;100
ROC8;4;Non Brouté;Exclos;2;10;20;10;;"
";15;;;;;5;10;;;;10;10;;;;;10;;;;;;100
ROC8;4;Non Brouté;Exclos;3;30;20;10;;;10;;;;;;5;;;;5;10;;5;;;5;;;;;;100
ROC8;4;Non Brouté;Exclos;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ROC8;6;Brouté;Témoin;1;20;15;20;;;;;;;;;;;;10;10;;;;;15;;;;10;;;100
ROC8;6;Brouté;Témoin;2;10;30;25;;;;;;;;;;;;;10;;;;;20;;;;5;;;100
ROC8;6;Brouté;Témoin;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ROC8;6;Brouté;Témoin;4;25;25;15;;;;;;;;;;;;;5;;;;;15;;;;10;;5;100
ROC8;6;Non Brouté;Exclos;1;25;25;15;;5;5;;;;;5;5;;;;;;;;;;15;;;;;;100
ROC8;6;Non Brouté;Exclos;2;20;25;10;;10;;;5;;;;;;;;;5;;;;;20;;;;;5;100
ROC8;6;Non Brouté;Exclos;3;15;30;10;;;5;;;;;;;;;;;;;;;;10;;;;;30;100
ROC8;6;Non Brouté;Exclos;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ROC8;10;Non Brouté;Exclos;1;10;30;20;;;;;;10;;;;;;;10;;;;;10;;;;;;10;100
