Parcelle;Traitement;Herbivorie_enveloppe;Herbivorie;Sp;nb_ind;m_frais;nb_emb1;nb_emb2;nb_emb3;nb_emb4;nb_emb5;nb_emb6;nb_emb7;nb_emb8;nb_emb9;nb_emb10;nb_emb_moy;m_vert;m_brun;Fonct_H1;Fonct_H2;Fonct_H3;Fonct_H4;Fonct_H5;Fonct_H6;Fonct_H7;Fonct_H8;Fonct_H9;Fonct_H10;Fonct_H_moy;Vert_H1;Vert_H2;Vert_H3;Vert_H4;Vert_H5;Vert_H6;Vert_H7;Vert_H8;Vert_H9;Vert_H10;Vert_H_moy;An1_H1;An1_H2;An1_H3;An1_H4;An1_H5;An1_H6;An1_H7;An1_H8;An1_H9;An1_H10;An1_H_moy;An2_H1;An2_H2;An2_H3;An2_H4;An2_H5;An2_H6;An2_H7;An2_H8;An2_H9;An2_H10;An2_H_moy;An3_H1;An3_H2;An3_H3;An3_H4;An3_H5;An3_H6;An3_H7;An3_H8;An3_H9;An3_H10;An3_H_moy;An4_H1;An4_H2;An4_H3;An4_H4;An4_H5;An4_H6;An4_H7;An4_H8;An4_H9;An4_H10;An4_H_moy;An5_H1;An5_H2;An5_H3;An5_H4;An5_H5;An5_H6;An5_H7;An5_H8;An5_H9;An5_H10;An5_H_moy;pH_1;pH_2;pH_3;pH_moy;T_pièce;P_Ulaval;P_CNETE;Si;LA;dNormC13;dNNorm15;%C;%N;Ratio_CN
26;PA;Non Brouté;Exclos;Aul.pal;3;0,3247;3;1;1;;;;;;;;1,666666667;0,0062;0,0624;4,8;3,5;4;;;;;;;;4,1;0,6;0,5;0,7;;;;;;;;0,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,19;6,11;;6,15;21,5;0,13;;;3,91652173913043;-28,2342226099411;-1,17134430348355;12,6609344;0,3906044;32,4137014329588
26;PA;Non Brouté;Exclos;Pol.sp;8;0,2279;1;1;1;1;1;1;1;1;;;1;0,0104;0,043;4,5;3,3;5;4;3,3;3,7;2,5;1,7;;;3,5;0,5;0,6;0;0,7;0,2;1,6;1;;;;0,6571428571;1;0,6;0,5;0,6;0,4;0,6;0,8;;;;0,6428571429;0,6;0,5;0,4;0,5;0,2;;0,6;;;;0,4666666667;0,7;0,3;0,4;0,6;0,3;;0,4;;;;0,45;0,6;0,5;;0,5;0,5;;0,5;;;;0,52;0,9;0,6;;;;;0,8;;;;0,7666666667;6,19;6,03;;6,11;21,5;0,07;;;5,95023696682464;-28,4132230707409;-1,30461659232655;33,3595459;0,5914054;56,4072392643016
26;PA;Non Brouté;Exclos;Bra.alb+Sco.sco;10;0,3085;2;1;1;1;2;5;5;2;11;8;3,8;0,0048;0,0155;3,9;4;3,4;4,8;3,5;3,4;2,8;2,5;2,5;2,7;3,35;1,5;0;0,6;0,7;1;1,4;0,4;0,5;0,2;0;0,63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,61;6,35;;6,48;21,5;;833;477;6,71072463768116;-30,6996819954318;-0,946885711747966;23,2023582;0,5521542;42,0215189887173
26;PA;Non Brouté;Exclos;Tom.nit;2;0,5059;4;13;;;;;;;;;8,5;0,03;0,0298;4,8;3,6;;;;;;;;;4,2;1,5;2,4;;;;;;;;;1,95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,94;5,89;;5,915;21,5;;850;414;7,44868735083532;-29,5821653064609;-1,0751477641683;20,2106304;0,4304353;46,9539333786053
26;PA;Non Brouté;Exclos;Bry.pse+Poh.nut;10;0,0368;1;1;1;1;1;1;1;1;2;2;1,2;0;0,0059;2,6;2,2;3,1;1,8;1,5;3;1,4;1,3;1,5;2,6;2,1;1,2;0,5;1,3;0,6;0;0;0;0;0;0;0,36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,08;6,07;;6,075;21,5;0,12;;;1,59681093394077;-28,8463844068198;-1,47897281983544;24,4431886;0,6339887;38,554612408707
26;PA;Non Brouté;Exclos;Bry.pse;10;0,0816;1;1;2;3;4;1;1;1;3;3;2;0,0004;0,0099;1,9;3,1;2,1;2,4;0,4;2;2,1;1,6;1,4;1,6;1,86;0;0;0;0,2;0,2;0;0;0,6;0;0;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,17;6,09;;6,13;21,5;;954;381;2,06225240520657;-28,1115924600009;-0,862713739847122;20,9708171;0,7103347;29,5224449826258
26;PA;Non Brouté;Exclos;Cal.ric;6;0,1717;3;4;2;4;1;3;;;;;2,83333333333333;0,003;0,0185;5,9;2,6;2,5;3,3;3;3;;;;;3,38333333333333;0,8;1;0,5;0,6;0;0;;;;;0,483333333333333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1007;214;4,02885682574917;-28,8165973;9,338220084;20,66686;0,513884955;40,21690022
26;PA;Brouté;Témoin;Tom.nit;10;1,26;1;1;1;1;2;2;1;2;1;1;1,3;0,0338;0,2032;4,3;3,1;4,8;4,2;3,7;4,5;3,2;4,5;3,8;3,4;3,95;0,7;0,7;0,5;0,5;0,4;0,4;0,5;0,7;0;0;0,44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,08;6,24;;6,16;21,5;0,11;;;15,654501216545;-27,6200829074181;-1,10420713541978;17,6622115;0,3973484;44,4501890532339
33;PS;Non Brouté;Exclos;Dre.arc;10;0,1909;4;1;1;1;8;5;5;4;5;5;3,9;0,0056;0,037;3,2;2,6;2,1;2,3;2,6;3,3;2,4;2,3;3,7;2,8;2,73;1;0,2;0,6;0,3;1;1,2;0;0,4;0,3;0;0,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,54;6,7;;6,62;21,3;0,13;950;311;4,95571095571096;-27,6453782151185;-1,28668951227765;14,9025140016706;0,408081215520482;36,5185003251457
33;PS;Non Brouté;Exclos;Sco.rev;10;0,2566;3;4;1;1;3;3;2;3;1;2;2,3;0,0019;0,0525;1,9;2,5;2,4;2,5;1,8;1,6;2,7;2,8;2,9;2,9;2,4;0;0;0,3;0,9;0,1;0;1,8;0;1,2;1,3;0,56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,74;6,8;;6,77;21,3;0,13;;;4,41863278886872;-28,263891194604;-0,555085223495228;14,708526;0,4790699;30,7022545144247
33;PS;Non Brouté;Exclos;Bry.pse;10;0,0265;1;2;1;1;1;1;1;1;1;1;1,1;0;0,0073;1,2;1,4;2;1,8;1,3;1,3;1,4;1,1;1,2;1,5;1,42;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,71;6,57;;6,64;21,3;0,13;;;1,36099585062241;-27,508331238521;-0,942877522609831;19,0652754;0,6206684;30,7173289311974
33;PS;Non Brouté;Exclos;Phi.tom;10;0,1147;6;3;6;3;2;2;6;4;2;2;3,6;0,005;0,0262;1,9;3,1;2,4;2;2,9;3;2;1,6;1,7;2;2,26;0,5;0;0,4;0,3;0,5;0,4;0,3;0,5;0,2;0,7;0,38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,13;;;2,82042455536431;-28,2084443054392;-1,48164088619669;8,50074542521437;0,279773891624068;30,3843413546136
33;PS;Non Brouté;Exclos;Dis.sp;10;0,0229;3;1;2;1;2;3;4;1;1;3;2,1;0,0021;0,005;2,2;2,1;3;2,8;3,4;2,5;2,9;2,9;2,5;2,9;2,72;0,9;0,7;0,8;1,1;1;0,6;0,7;0,8;1,1;0,9;0,86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,5;6,58;;6,54;21,3;0,08;;;1,72330097087379;-28,3776207691453;-0,887764921960468;8,9329366;0,324568;27,5225425796751
33;PS;Brouté;Témoin;Sco.rev;10;0,2074;3;4;8;6;6;3;2;1;2;2;3,7;0,0032;0,0313;3,1;3,2;3,6;3,4;2,5;3,1;2,7;1,8;2,9;3,4;2,97;1,6;0,9;0,4;0;0,6;0,3;0,4;0,5;0;0;0,47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,88;7,14;;7,01;21,3;0,13;;;4,45539906103286;-25,6741538463776;-0,813526281828325;19,7061770310264;0,602989929979432;32,6807730134044
33;PS;Brouté;Témoin;Bry.pse;10;0,0328;1;1;1;1;1;2;1;1;3;1;1,3;0,0012;0,0065;2;1,3;1;1,2;0,7;1,2;1,1;0,8;0,4;0,9;1,06;0,5;0,2;0,6;0,5;0,7;0,7;0,2;0,3;0,1;0;0,38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7,29;7,08;7,07;7,14666666666667;21,3;0,14;;;1,12614678899083;-26,0350683631155;-0,672389610084856;17,6568644273795;0,678669235271848;26,0168923382933
33;PS;Brouté;Témoin;Dre.arc;6;0,1282;;;;;;;;;;;0;0,0053;0,0139;2;2,3;3,4;2,3;3,7;2,5;;;;;2,7;0,3;0,6;0,7;0,5;0,3;0,7;;;;;0,516666666666667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,65;6,8;;6,725;21,3;0,21;;;3,14134897360704;-25,72985626;7,630537234;16,768154;0,656293349;25,54978507
35;PS;Non Brouté;Exclos;Phi.tom;6;0,1225;1;4;5;5;4;5; ;;;;4;0,0018;0,0398;2,2;2,4;1,7;2,9;1,9;2,7;;;;;2,3;0,4;0,5;0,3;0,5;0,5;0,2;;;;;0,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7,25;7,1;;7,175;21,3;0,13;;;2,96699478865084;-28,43748947;9,054731231;9,12142913;0,323422161;28,20285757
35;PS;Non Brouté;Exclos;Bry.pse;9;0,0458;2;1;1;2;1;2;3;1;2;;1,66666666666667;0,0007;0,0152;1,2;1,1;1,5;1,6;1,2;1,3;1,7;1,3;2;;1,43333333333333;0,3;0,4;0,1;0,1;0,4;0,3;0,3;0,1;0,2;;0,244444444444444;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,13;;;1,5219170075979;-27,0438540205552;-1,37502685358472;13,0281880699529;0,483542330627923;26,9432213991165
35;PS;Non Brouté;Exclos;Tom.nit;3;0,3151;1;1;1;;;;;;;;1;0,0041;0,0606;2,2;2,4;2,5;;;;;;;;2,36666666666667;0;0,5;0,5;;;;;;;;0,333333333333333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7,37;7,42;;7,395;21,3;0,13;;;3,58152476349471;-27,3416578021259;-0,992231707920775;13,3264652526377;0,320881434155016;41,5308080622694
35;PS;Non Brouté;Exclos;Dre.arc;9;0,1809;4;8;3;8;4;6;3;2;6;;4,88888888888889;0,0032;0,0278;3,8;3;1,7;2,3;1,5;1,9;1,5;2;3;;2,3;0,8;0,7;0,3;0,5;0;0,3;0,3;0,3;0,5;;0,411111111111111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7,29;7,15;;7,22;21,3;0,13;;;3,81471389645777;-28,2321108311269;-0,991216336181614;16,9655714923729;0,436100485892931;38,9028951839741
35;PS;Non Brouté;Exclos;Cin.lat;9;0,1584;1;1;1;1;1;1;1;1;1;;1;0,0001;0,0372;2,5;2,5;1,7;1,7;2,7;1,7;1,3;1,9;1,3;;1,92222222222222;0;0;0;0;0,5;0;0;0,2;0;;0,0777777777777778;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7,54;7,5;;7,52;21,3;;1103;480;3,32712456344587;-27,0941453876416;-1,45727196445681;9,946185195681;0,379666847392064;26,1971390549411
35;PS;Brouté;Témoin;Cal.ric;10;0,2002;1;3;2;1;1;1;1;2;1;1;1,4;0,0046;0,0257;4,4;2,9;3,4;4;2,8;3,4;2,6;5,5;1,7;3,2;3,39;1,2;0,4;0,2;0,9;1,1;0;0,9;0,6;0,4;1,1;0,68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,34;6,66;6,34;6,44666666666667;21,3;0,1;;;6;-26,6237731895979;-0,648020688344977;22,1379945243905;0,55115418511626;40,1666087679634
35;PS;Brouté;Témoin;Sco.rev;9;0,0863;1;1;1;2;1;3;2;2;4;;1,88888888888889;0,005;0,0146;2,7;1,8;2;2;2,6;3,5;4;2;3,6;0;2,68888888888889;1,1;1,8;0,7;0;1;0,8;0,7;1,1;0,7;;0,877777777777778;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,93;7,02;;6,975;21,3;0,11;;;4,1891418563923;-26,3604830913219;-0,723158197042939;23,2046226287973;0,578249058208595;40,1291144350235
35;PS;Brouté;Témoin;Mee.tri;10;0,1427;1;1;1;1;1;1;1;1;2;3;1,3;0,0057;0,016;1,6;2,4;2,5;1,7;1,8;2;2,2;2,1;2,3;2,8;2,14;0,8;1,2;1,1;0,8;1;1,2;1,1;0,5;0,5;1,2;0,94;1;1,2;1;0,8;0,4;0,9;0,4;0,4;0,6;1;0,77;0,9;1,8;0,7;0,6;0,4;0,7;0,5;0,4;;;0,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,75;6,96;;6,855;21,3;;937;514;3,51774647887324;-25,3753639595699;-0,510945503558154;23,7025309100552;0,627442440088969;37,776422816879
35;PS;Brouté;Témoin;Bry.pse;10;0,0823;2;1;2;2;1;1;1;1;1;2;1,4;0,0031;0,0135;3,2;2;2,4;2,7;2,7;2;2,1;1,5;1,7;2,3;2,26;0,7;0,8;1;1,2;1;1;0;1;0,3;0,6;0,76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,66;6,8;;6,73;21,3;;898;409;2,84624017957351;-26,7705724332358;-0,524021757674679;23,2581366;0,6790932;34,2488138594231
35;PS;Brouté;Témoin;Cin.lat;7;0,0577;1;1;1;1;1;1;1;;;;1;0,0009;0,0082;1,5;1,6;1,8;1;1,2;1,7;0,7;;;;1,35714285714286;0,5;0,3;0;0;0;0,2;0,2;;;;0,171428571428571;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,61;7,21;7,07;6,96333333333333;21,3;;965;360;1,51941474395048;-26,0745125725951;-0,875463957917186;19,1970413879209;0,617721868113417;31,0771600923738
36;PS;Non Brouté;Exclos;Dre.arc;10;0,1277;1;1;3;2;2;4;2;1;2;3;2,1;0,0039;0,029;2,2;2,4;2,4;2,2;3,3;1,8;2,1;2,5;2;2,1;2,3;0;0,3;0;0,5;0,6;0;0,3;0;0,1;0;0,18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7,15;6,89;;7,02;21,5;0,13;;;3,11377245508982;-26,1632620439241;-0,960755184006764;17,1450549637122;0,505390421336569;33,9243765609366
36;PS;Non Brouté;Exclos;Bry.pse;10;0,0292;1;1;1;2;1;1;3;1;2;1;1,4;0;0,01;0,8;1,9;1,9;2;1;1,3;1,2;0,7;0,8;0,9;1,25;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,74;6,79;;6,765;21,5;0,12;;;1,24454392837157;-26,5892595063033;-0,800326449219224;21,448620417551;0,594929508891288;36,0523727550894
36;PS;Non Brouté;Exclos;Cin.lat;4;0,0455;3;3;1;1;;;;;;;2;0,0001;0,0063;0,8;1,3;1;0,7;;;;;;;0,95;0;0,1;0,1;0;;;;;;;0,05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7,15;7,26;;7,205;21,5;0,14;;;0,7835941716136;-26,8998826559548;-1,01253914270401;13,2282813209325;0,501809548269586;26,361159062334
36;PS;Non Brouté;Exclos;Sco.rev;3;0,0395;1;1;1;;;;;;;;1;0,0001;0,003;1,9;1,7;1,8;;;;;;;;1,8;0;0,8;0;;;;;;;;0,266666666666667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,48;6,42;;6,45;21,5;0,1;;;0,72562358276644;-26,9659517068331;-1,29785860140843;26,1344628059255;0,425871361032596;61,3670352064956
36;PS;Non Brouté;Exclos;Mee.tri;4;0,1079;1;1;5;3;;;;;;;2,5;0,0008;0,0129;1,6;1,9;2,5;2,6;;;;;;;2,15;1,2;2,5;0;0;;;;;;;0,925;0,6;1;0,4;;;;;;;;0,6666666667;0,8;0,6;0,8;;;;;;;;0,7333333333;0,7;;;;;;;;;;0,7;;;;;;;;;;;;;;;;;;;;;;;6,88;6,75;;6,815;21,5;;801;439;2,53139013452915;-24,7590481864518;-0,81048016661084;25,3326109249784;0,782086402405323;32,3910642699674
36;PS;Brouté;Témoin;Sco.rev;10;0,2199;1;4;2;1;1;5;3;2;1;2;2,2;0,0014;0,0304;5;4,4;3,5;3,5;4;2,5;4;3,9;3,3;3,3;3,74;0;0,3;0,5;0;0;0;0,3;0,5;0;0,5;0,21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,66;6,8;;6,73;21,5;0,12;;;7;-31,2032459101746;-0,800326449219224;23,6477628789995;0,437636505055073;54,0351698403761
43;PA;Non Brouté;Exclos;Aul.pal;10;0,5512;2;1;1;5;1;3;4;2;1;2;2,2;0,012;0,0543;2,4;2,2;2,4;3,2;2,9;2,9;2,2;2,5;3;3;2,67;0,7;0,5;0,5;0,3;1;0,8;0,7;0,7;0,5;0,5;0,62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,9;6;;5,95;21,5;0,09;;;7,71428571428571;-27,0073681267866;-1,65323871011501;22,0919491514901;0,699657761181561;31,5753649529762
43;PA;Non Brouté;Exclos;Hep.sp;10;0,0973;1;1;1;1;1;1;1;2;1;1;1,1;0,0183;0;4;2,2;2,7;2;2,2;3;3,3;4,3;1,5;2,6;2,78;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,28;6,13;;6,205;21,5;0,1;;;2,80995475113122;-27,9698068380878;-1,0470617818355;19,2511480521095;0,384423917992078;50,0779143833248
43;PA;Non Brouté;Exclos;Poh.nut;10;0,031;1;1;1;1;5;1;2;3;1;1;1,7;0,0001;0,0058;1,4;2,6;1,5;1,7;1,7;2,2;2,5;2,7;1,5;1,5;1,93;0,2;0,2;0,5;0;0,3;0;0,5;0,3;0;0,2;0,22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,25;6,22;;6,235;21,5;0,1;;;1,64402021336328;-25,6287930054761;-1,46742568184843;27,4234261825003;1,04445092022503;26,2563090820886
43;PA;Brouté;Témoin;Aul.pal;9;0,5061;2;1;4;2;4;2;3;4;4;;2,88888888888889;0,0108;0,053;2,7;3,7;2,2;2,7;2,7;2,5;2,2;3,2;2,5;;2,71111111111111;0,9;0,7;0,5;0,4;0,4;0,5;0,6;0,6;0,3;;0,544444444444444;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,76;5,41;5,58;5,58333333333333;21,5;0,07;;;9,06236080178174;-28,225208094468;-1,87154363403476;27,7250467850235;0,633398508503583;43,7718851762447
71;PA;Non Brouté;Exclos;Pol.sp;10;0,4865;1;2;1;1;1;3;1;1;1;1;1,3;0,0039;0,124;4;4,7;1,5;2;1,5;2;1;1,4;3;2,8;2,39;0;0,2;0,3;0;1;0;0,3;0;0;0;0,18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,08;;;8,28287551139684;-28,1096145543567;-0,46189482603358;36,4927908;1,0032705;36,3738301883689
71;PA;Non Brouté;Exclos;Phi.tom;10;0,091;6;1;5;4;7;5;3;1;7;3;4,2;0,0021;0,0159;1;1,2;0,8;1,2;1;0,9;2,3;1,4;1,5;1,5;1,28;0,2;0;0,1;0,1;0,3;0;0,1;0;0,6;0,3;0,17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,58;6,7;;6,64;21,4;0,11;;;2,60578034682081;-27,1917698061036;-0,518053105732286;22,830175226814;0,97616770881798;23,3875542292405
71;PA;Non Brouté;Exclos;Bry.pse;10;0,0524;1;2;1;1;2;3;1;1;1;1;1,4;0,0027;0,0045;1,5;1,5;1,4;1,5;1;0,7;1;1;0,5;1,2;1,13;0,3;0,2;0,6;0,3;0,2;0,3;0,4;0,2;0,1;0,5;0,31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,43;6,58;;6,505;21,4;0,11;;;1,73224679860303;-26,82505667;6,334588194;26,6812813;1,200222408;22,23028091
71;PA;Non Brouté;Exclos;Pla.ell;7;0,1228;1;1;1;1;1;2;1;;;;1,14285714285714;0,0044;0,0149;1,2;1,3;2,3;1;1;3;1,3;;;;1,58571428571429;0,4;0,4;0,4;0,5;0;0,5;0,3;;;;0,357142857142857;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,61;6,71;;6,66;21,4;;953;363;3,2983682983683;-26,96709965;5,385125529;21,8388854;1,089106819;20,05210604
71;PA;Brouté;Témoin;Cin.lat;9;0,1143;3;1;2;1;1;2;1;1;2;;1,55555555555556;0,0012;0,0134;1;0,9;1;0,8;1,2;1;0,9;1,3;1;;1,01111111111111;0,1;0,2;0,3;0,1;0,2;0;0,1;0,2;0,1;;0,144444444444444;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,94;6,78;;6,86;21,4;0,08;;;2,4314171883893;-26,2648308833339;-0,667312751389048;32,9286236466926;1,08734536980348;30,2835001289828
71;PA;Brouté;Témoin;Sco.rev;5;0,2162;1;1;2;2;1;;;;;;1,4;0,012;0,01;3,5;4;1;1,5;1,7;;;;;;2,34;3,5;1,3;1;0;0;;;;;;1,16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,74;6,96;;6,85;21,4;;560;220;3,68415115623237;-26,7213976080598;-0,934355518788562;35,6215085785492;0,87082148043989;40,9056383870495
71;PA;Brouté;Témoin;Phi.tom;6;0,0325;2;2;1;3;3;2;;;;;2,16666666666667;0,0003;0,0065;1,2;1,4;0,9;1,1;1;1,2;;;;;1,13333333333333;0;0,1;0,3;0,2;0,2;0,2;;;;;0,166666666666667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,54;6,86;6,44;6,61333333333333;21,4;;511;322;1,10829493087558;-26,8229664474697;-0,743465631826172;34,7079699206365;1,05191009158907;32,9951867542262
71;PA;Brouté;Témoin;Mee.tri;6;0,0797;3;1;2;1;1;1;;;;;1,5;0,001;0,008;1,7;1,2;1,7;1,5;1,8;2;;;;;1,65;0,1;0,4;0,1;0,2;0,9;0;;;;;0,283333333333333;1;0,5;0,3;0,4;0,3;0,2;;;;;0,45;0,3;;;;;;;;;;0,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;581;492;1,89544688026981;-25,6485151102158;-0,873433214438863;33,516968284371;0,995184022370401;33,6791663963192
72;PA;Non Brouté;Exclos;Aul.pal;10;1,2646;10;6;3;4;6;7;5;7;4;8;6;0,0342;0,1331;4,8;4;4,5;3,3;4,4;3,7;3,6;4,5;3;4,4;4,02;0,8;0,5;0,6;1,1;0,5;0,8;0,7;0,7;0,8;0,7;0,72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,05;;;19,8976071229827;-27,7311693707365;-2,36806041448481;26,6981894584845;0,477737437348237;55,8846499589344
72;PA;Non Brouté;Exclos;Sph.sp;4;1,1341;2;3;1;1;;;;;;;1,75;0;0,1144;3,4;2,5;3,4;3,5;;;;;;;3,2;0;0;0;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,55;5,6;;5,575;21,3;0,09;;;7,54774972557629;-28,9125234446493;-1,07752293401035;21,0986262991696;0,571422779052571;36,9229702990691
72;PA;Non Brouté;Exclos;Aul.tur;4;0,2486;3;4;2;2;;;;;;;2,75;0,0146;0,0239;3,7;5;5,6;3,4;;;;;;;4,425;1,1;3;0,5;0,4;;;;;;;1,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,25;5,36;;5,305;21,3;0,06;;;5,15560391730141;-27,1740199118377;-1,85326694272985;27,8841006162947;0,454997828113661;61,2840301499837
72;PA;Brouté;Témoin;Sco.rev;10;0,461;3;7;1;1;5;2;2;1;2;6;3;0,0018;0,0374;3,5;3,5;3,5;3;3,5;4;4,6;3;3;1,5;3,31;0,4;0,5;0,5;0;0;0,3;0;0,7;0,5;0,3;0,32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,19;6,24;;6,215;21,3;0,09;;;10,2095238095238;-28,1768889378555;0,18763025298506;32,6911834113272;0,777782745776749;42,0312530572781
72;PA;Brouté;Témoin;Cal.ric;10;0,5254;4;1;2;1;3;1;5;1;1;9;2,8;0,0097;0,0368;4,5;5,7;4,5;5;5;2,5;5,5;3,3;2;4,8;4,28;2;1,7;1;1,5;0,5;0,6;0,8;0,5;1,2;1,3;1,11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,38;6,42;;6,4;21,3;0,09;;;10,4492512479201;-28,4746927194262;0,19372248342003;32,9812163041347;0,817325761955377;40,3525960386103
72;PA;Brouté;Témoin;Mee.tri;10;0,2477;1;2;3;2;3;2;5;2;1;2;2,3;0,0097;0,0183;3,5;4,5;4,2;2,6;4;3;5;3,5;4,5;2,2;3,7;1,8;1,5;1,8;1,2;1;1,2;2;2;1;1;1,45;0,7;0,6;0,5;0,9;0,6;0,6;0,4;0,6;0,4;;0,5888888889;0,7;0,5;0,3;;0,4;0,3;0,4;;0,4;;0,4285714286;0,7;0,5;0,5;;0,5;0,4;;;;;0,52;;;;;;;;;;;;;;;;;;;;;;;6,33;6,37;;6,35;21,3;0,09;;;6,20078519349411;-26,7805639222792;-0,134242588329183;33,8643998226156;0,988729489318374;34,2504195419129
