Parcelle;Traitement;Herbivorie_enveloppe;Herbivorie;Sp;nb_ind;m_frais;nb_emb1;nb_emb2;nb_emb3;nb_emb4;nb_emb5;nb_emb6;nb_emb7;nb_emb8;nb_emb9;nb_emb10;nb_emb_moy;m_vert;m_brun;Fonct_H1;Fonct_H2;Fonct_H3;Fonct_H4;Fonct_H5;Fonct_H6;Fonct_H7;Fonct_H8;Fonct_H9;Fonct_H10;Fonct_H_moy;Vert_H1;Vert_H2;Vert_H3;Vert_H4;Vert_H5;Vert_H6;Vert_H7;Vert_H8;Vert_H9;Vert_H10;Vert_H_moy;An1_H1;An1_H2;An1_H3;An1_H4;An1_H5;An1_H6;An1_H7;An1_H8;An1_H9;An1_H10;An1_H_moy;An2_H1;An2_H2;An2_H3;An2_H4;An2_H5;An2_H6;An2_H7;An2_H8;An2_H9;An2_H10;An2_H_moy;An3_H1;An3_H2;An3_H3;An3_H4;An3_H5;An3_H6;An3_H7;An3_H8;An3_H9;An3_H10;An3_H_moy;An4_H1;An4_H2;An4_H3;An4_H4;An4_H5;An4_H6;An4_H7;An4_H8;An4_H9;An4_H10;An4_H_moy;An5_H1;An5_H2;An5_H3;An5_H4;An5_H5;An5_H6;An5_H7;An5_H8;An5_H9;An5_H10;An5_H_moy;pH_1;pH_2;pH_3;pH_moy;T_pièce;P_Ulaval;P_CNETE;Si;LA;dNormC13;dNNorm15;%C;%N;Ratio_CN
ROC6;6;Brouté;Témoin;Aul.pal;10;2,3614;11;6;10;7;4;4;6;9;8;5;7;0,0358;0,1781;5;3,5;5,5;7;5;4,7;5,7;5,2;4;4,3;4,99;0,9;0,7;0,8;1;1;1,2;1,3;1,3;1;0,5;0,97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,03;5,99;;6,01;21,7;0,08;;;27,8313444709626;-25,3593682247704;0,36259209713563;26,1325988;0,7195116;36,3199131188434
ROC6;6;Brouté;Témoin;Sco.rev;10;0,8191;2;11;20;1;2;1;2;1;1;2;4,3;0,0006;0,0806;3;4,3;4,3;3;2,5;3,3;2,5;3;3,2;2,3;3,14;0;0;0;0;0;0;0,5;0,7;0;0;0,12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,44;6,12;6,01;6,19;21,7;0,11;;;10,804248861912;-26,8406708911767;0,645604955158202;21,4505446;0,8463203;25,3456576664887
ROC6;6;Brouté;Témoin;Phi.tom;10;0,1349;2;1;2;3;2;7;1;1;2;4;2,5;0;0,0284;2,5;3,6;3;3,2;4,7;2,5;5,5;2;2;2,8;3,18;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,38;6,34;;6,36;21,7;0,11;;;3,5832083958021;-27,2631901081046;-0,0528948646421877;20,161814;0,7501344;26,8776022003524
ROC6;6;Brouté;Témoin;Bry.pse;9;0,0929;1;1;1;2;2;3;1;1;1;;1,44444444444444;0,0009;0,017;2;2;2,9;2,2;2,3;2,5;1,3;1,7;1,3;;2,02222222222222;0,5;0;0;0,3;0;0,5;0;0;0;;0,144444444444444;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,45;5,72;5,67;5,61333333333333;21,7;;841;510;2,08682855040471;-26,2849338505585;0,674709114316552;28,8665173;1,1743645;24,5805431788853
ROC6;10;Non Brouté;Exclos;Phi.tom;10;0,1699;1;3;2;2;1;1;3;4;2;3;2,2;0,0036;0,0218;3;2,3;3,1;2,6;1,9;2,2;1,8;3,1;3,1;4,1;2,72;1,1;0,9;0;1,3;0;0;0,8;1,1;0;1,2;0,64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,56;6,55;;6,555;21,4;0,13;;;3,23952095808383;-26,7402604419773;-0,883868788197824;22,8616691;0,6720346;34,0185893702497
ROC6;10;Non Brouté;Exclos;Bry.pse;10;0,0724;1;1;1;1;1;1;1;1;1;3;1,2;0;0,0123;1,2;2,1;1,6;2,4;1,8;2,1;1,7;2;2,7;2,5;2,01;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,75;7,19;7,09;7,01;21,4;0,17;;;1,82466567607727;-26,1397860725079;-0,979209999233797;22,3597004;0,9670077;23,122567069528
ROC6;10;Non Brouté;Exclos;Sco.rev;5;0,068;1;1;1;1;2;;;;;;1,2;0,0001;0,0057;1,6;1,6;1,3;1,5;1,1;;;;;;1,42;0;0;0;0,2;0,3;;;;;;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7,02;6,9;;6,96;21,4;0,18;;;0,911357340720222;-26,4519532116029;-1,00630697500192;19,8164522;0,6514094;30,4208876936685
ROC6;10;Non Brouté;Exclos;Rhi.pun;5;0,1217;1;2;1;1;3;;;;;;1,6;0,0001;0,0169;0,9;1,6;1,2;2,1;1,9;;;;;;1,54;0;0,5;0;0;0;;;;;;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1420;254;1,84228890439637;-26,3744085082609;-1,42480471186508;25,8886058;1,0280685;25,1817907075258
ROC6;10;Non Brouté;Exclos;Aul.pal;10;0,8997;4;8;2;9;1;5;2;2;6;16;5,5;0,0144;0,1156;2,7;2,3;2,1;2,9;3,7;2,4;1,3;1,2;4,3;2,9;2,58;0,8;0,8;0,3;1,3;0;0,4;0,5;0,2;0,6;0,7;0,56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7,3;7;;7,15;21,4;;1344;518;10,0265548567435;-25,4021172278949;-0,983224366014259;17,7148562;0,534743;33,1277944732329
ROC6;10;Non Brouté;Exclos;Dre.arc;9;0,1159;1;1;1;1;1;1;1;2;2;;1,22222222222222;0,002;0,0169;2,3;2,2;1,8;1,7;1,6;4;2,4;3,2;3,3;;2,5;2,1;0;0;0;0;1,6;0;0;0;;0,411111111111111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,81;6,6;;6,705;21,4;;1202;392;2,34343434343434;-26,6338850155978;-1,33448145930468;20,3725285;0,7341474;27,7499157526132
