"Titre de tracé : 20177023"
"#","Date Heure, GMT-04:00","Temp., °C (LGR S/N: 20177023, SEN S/N: 20177023)","Coupleur détaché (LGR S/N: 20177023)","Pile défectueuse (LGR S/N: 20177023)","Coupleur attaché (LGR S/N: 20177023)","Hôte connecté (LGR S/N: 20177023)","Fin de fichier (LGR S/N: 20177023)"
310,07/26/18 06:57:23 PM,5.860,,,,,
311,07/26/18 07:57:23 PM,5.244,,,,,
312,07/26/18 08:57:23 PM,4.727,,,,,
313,07/26/18 09:57:23 PM,4.311,,,,,
314,07/26/18 10:57:23 PM,3.788,,,,,
315,07/26/18 11:57:23 PM,3.472,,,,,
316,07/27/18 12:57:23 AM,3.155,,,,,
317,07/27/18 01:57:23 AM,2.837,,,,,
318,07/27/18 02:57:23 AM,2.624,,,,,
319,07/27/18 03:57:23 AM,2.410,,,,,
320,07/27/18 04:57:23 AM,2.088,,,,,
321,07/27/18 05:57:23 AM,1.980,,,,,
322,07/27/18 06:57:23 AM,1.980,,,,,
323,07/27/18 07:57:23 AM,2.517,,,,,
324,07/27/18 08:57:23 AM,3.049,,,,,
325,07/27/18 09:57:23 AM,3.472,,,,,
326,07/27/18 10:57:23 AM,3.998,,,,,
327,07/27/18 11:57:23 AM,4.415,,,,,
328,07/27/18 12:57:23 PM,5.037,,,,,
329,07/27/18 01:57:23 PM,5.450,,,,,
330,07/27/18 02:57:23 PM,5.962,,,,,
331,07/27/18 03:57:23 PM,6.268,,,,,
332,07/27/18 04:57:23 PM,5.962,,,,,
333,07/27/18 05:57:23 PM,5.450,,,,,
334,07/27/18 06:57:23 PM,5.037,,,,,
335,07/27/18 07:57:23 PM,4.727,,,,,
336,07/27/18 08:57:23 PM,4.519,,,,,
337,07/27/18 09:57:23 PM,4.311,,,,,
338,07/27/18 10:57:23 PM,4.102,,,,,
339,07/27/18 11:57:23 PM,3.893,,,,,
340,07/28/18 12:57:23 AM,3.788,,,,,
341,07/28/18 01:57:23 AM,3.578,,,,,
342,07/28/18 02:57:23 AM,3.472,,,,,
343,07/28/18 03:57:23 AM,3.367,,,,,
344,07/28/18 04:57:23 AM,3.367,,,,,
345,07/28/18 05:57:23 AM,3.261,,,,,
346,07/28/18 06:57:23 AM,3.261,,,,,
347,07/28/18 07:57:23 AM,3.261,,,,,
348,07/28/18 08:57:23 AM,3.261,,,,,
349,07/28/18 09:57:23 AM,3.367,,,,,
350,07/28/18 10:57:23 AM,3.367,,,,,
351,07/28/18 11:57:23 AM,3.367,,,,,
352,07/28/18 12:57:23 PM,3.472,,,,,
353,07/28/18 01:57:23 PM,3.788,,,,,
354,07/28/18 02:57:23 PM,3.893,,,,,
355,07/28/18 03:57:23 PM,4.102,,,,,
356,07/28/18 04:57:23 PM,4.102,,,,,
357,07/28/18 05:57:23 PM,3.998,,,,,
358,07/28/18 06:57:23 PM,3.998,,,,,
359,07/28/18 07:57:23 PM,3.893,,,,,
360,07/28/18 08:57:23 PM,3.788,,,,,
361,07/28/18 09:57:23 PM,3.578,,,,,
362,07/28/18 10:57:23 PM,3.261,,,,,
363,07/28/18 11:57:23 PM,3.049,,,,,
364,07/29/18 12:57:23 AM,2.837,,,,,
365,07/29/18 01:57:23 AM,2.624,,,,,
366,07/29/18 02:57:23 AM,2.303,,,,,
367,07/29/18 03:57:23 AM,2.088,,,,,
368,07/29/18 04:57:23 AM,1.872,,,,,
369,07/29/18 05:57:23 AM,1.764,,,,,
370,07/29/18 06:57:23 AM,1.872,,,,,
371,07/29/18 07:57:23 AM,2.088,,,,,
372,07/29/18 08:57:23 AM,2.303,,,,,
373,07/29/18 09:57:23 AM,2.517,,,,,
374,07/29/18 10:57:23 AM,2.730,,,,,
375,07/29/18 11:57:23 AM,3.049,,,,,
376,07/29/18 12:57:23 PM,3.155,,,,,
377,07/29/18 01:57:23 PM,3.261,,,,,
378,07/29/18 02:57:23 PM,3.472,,,,,
379,07/29/18 03:57:23 PM,3.893,,,,,
380,07/29/18 04:57:23 PM,3.893,,,,,
381,07/29/18 05:57:23 PM,3.788,,,,,
382,07/29/18 06:57:23 PM,3.788,,,,,
383,07/29/18 07:57:23 PM,4.311,,,,,
384,07/29/18 08:57:23 PM,4.519,,,,,
385,07/29/18 09:57:23 PM,4.415,,,,,
386,07/29/18 10:57:23 PM,4.102,,,,,
387,07/29/18 11:57:23 PM,3.788,,,,,
388,07/30/18 12:57:23 AM,3.472,,,,,
389,07/30/18 01:57:23 AM,3.155,,,,,
390,07/30/18 02:57:23 AM,2.943,,,,,
391,07/30/18 03:57:23 AM,2.730,,,,,
392,07/30/18 04:57:23 AM,2.624,,,,,
393,07/30/18 05:57:23 AM,2.517,,,,,
394,07/30/18 06:57:23 AM,2.410,,,,,
395,07/30/18 07:57:23 AM,2.517,,,,,
396,07/30/18 08:57:23 AM,2.517,,,,,
397,07/30/18 09:57:23 AM,2.730,,,,,
398,07/30/18 10:57:23 AM,3.049,,,,,
399,07/30/18 11:57:23 AM,3.472,,,,,
400,07/30/18 12:57:23 PM,3.788,,,,,
401,07/30/18 01:57:23 PM,3.998,,,,,
402,07/30/18 02:57:23 PM,4.311,,,,,
403,07/30/18 03:57:23 PM,4.519,,,,,
404,07/30/18 04:57:23 PM,4.623,,,,,
405,07/30/18 05:57:23 PM,4.934,,,,,
406,07/30/18 06:57:23 PM,5.141,,,,,
407,07/30/18 07:57:23 PM,5.037,,,,,
408,07/30/18 08:57:23 PM,4.623,,,,,
409,07/30/18 09:57:23 PM,4.207,,,,,
410,07/30/18 10:57:23 PM,3.788,,,,,
411,07/30/18 11:57:23 PM,3.472,,,,,
412,07/31/18 12:57:23 AM,3.261,,,,,
413,07/31/18 01:57:23 AM,3.049,,,,,
414,07/31/18 02:57:23 AM,2.837,,,,,
415,07/31/18 03:57:23 AM,2.730,,,,,
416,07/31/18 04:57:23 AM,2.624,,,,,
417,07/31/18 05:57:23 AM,2.517,,,,,
418,07/31/18 06:57:23 AM,2.517,,,,,
419,07/31/18 07:57:23 AM,2.624,,,,,
420,07/31/18 08:57:23 AM,2.837,,,,,
421,07/31/18 09:57:23 AM,3.261,,,,,
422,07/31/18 10:57:23 AM,3.683,,,,,
423,07/31/18 11:57:23 AM,3.893,,,,,
424,07/31/18 12:57:23 PM,4.102,,,,,
425,07/31/18 01:57:23 PM,4.311,,,,,
426,07/31/18 02:57:23 PM,4.623,,,,,
427,07/31/18 03:57:23 PM,5.244,,,,,
428,07/31/18 04:57:23 PM,6.166,,,,,
429,07/31/18 05:57:23 PM,6.573,,,,,
430,07/31/18 06:57:23 PM,6.471,,,,,
431,07/31/18 07:57:23 PM,6.064,,,,,
432,07/31/18 08:57:23 PM,5.552,,,,,
