Date;Parcelle;Traitement;Exclos;Sous_parcelle;Medaille;Heure_NDVI;Mesure_NDVI;Ombre_NDVI;Red_i   ;NIR_i   ;Red_r   ;NIR_r   ;Blue_i  ;Blue_r  ;Green_i ;Green_r ;Remarque_NDVI;Heure_PRI;Mesure_PRI;Ombre_PRI;531_i   ;570_i   ;531_r   ;570_r   ;Remarque_PRI;;
16/07/2018;ROC3;14;Exclos;SO;495;;;Ombre;255,6225;172,4887;8,463335;15,74628;86,44158;1,488309;109,4315;3,189182;;;;Ombre;44,55487;48,48885;1,193011;1,242518;;;
16/07/2018;ROC3;14;Exclos;NO;493;;;;256,5724;172,9626;8,391304;15,73668;86,72324;1,477121;109,9365;3,168045;;;;;41,37705;45,07566;1,679635;1,746415;;;
16/07/2018;ROC3;14;Temoin;NE;498;;;;217,9444;145,4589;5,280067;21,04343;75,21363;0,825733;93,78404;2,496979;;;;;41,61961;45,38685;1,010215;1,114159;;;
16/07/2018;ROC3;14;Temoin;SE;491;;;Ombre;245,6573;165,4178;5,186237;17,63451;83,61219;0,8123844;105,1295;2,371681;;;;;45,20215;49,20785;0,9745277;1,067272;;;
16/07/2018;ROC3;14;Temoin;SO;492;;;Ombre;241,7103;162,2003;4,002463;15,89399;82,40447;0,680374;103,6831;2,00001;;;;Ombre;42,82424;46,73149;0,7735441;0,846277;;;
16/07/2018;ROC3;14;Temoin;NO;499;;;;220,0066;146,9799;4,063595;18,77153;75,71507;0,6890165;94,68973;2,135219;;;;;41,56374;45,35082;0,8859343;0,9652818;;;
17/07/2018;ROC7;1;Exclos;NE;304;;;;198,8285;131,8957;4,248254;7,578786;69,38841;0,6602655;86,07431;1,4307;;;;;42,24373;46,09602;0,732263;0,7663481;;;
17/07/2018;ROC7;1;Exclos;SE;306;;;;206,8634;137,0425;3,813856;8,042579;71,59687;0,6014374;89,24258;1,288381;;;;;45,33979;49,26353;0,6235915;0,6510984;;;
17/07/2018;ROC7;1;Exclos;SO;307;;;;214,7655;142,7707;3,663159;7,659307;74,11259;0,5689214;92,48741;1,216543;;;;;45,288;49,26844;0,598451;0,6248801;;;
17/07/2018;ROC7;1;Exclos;NO;305;;;;198,0408;131,2845;4,325024;8,077506;69,23691;0,7231367;85,99612;1,522114;;;;;41,17128;44,84965;0,6898257;0,7242715;;;
17/07/2018;ROC7;1;Temoin;NE;312;;;;198,6116;131,5853;2,483034;6,504426;69,20918;0,4325258;85,96191;0,9549242;;;;;40,35366;44,01109;0,492842;0,4788523;;;
17/07/2018;ROC7;1;Temoin;SE;310;;;;213,3022;141,8906;2,224159;5,263157;73,8096;0,4357346;92,0248;0,8392574;;;;;42,28188;45,77829;0,393733;0,4014045;;;
17/07/2018;ROC7;1;Temoin;SO;309;;;;213,9262;142,4805;2,11363;5,188503;73,89922;0,4174658;92,06878;0,7997921;;;;;35,94805;38,64728;0,3112801;0,3144684;;;
17/07/2018;ROC7;1;Temoin;NO;311;;;;200,78;132,898;2,321125;5,932117;69,88131;0,4537681;86,86923;0,9305843;;;;;37,0532;40,28017;0,4160141;0,4185872;;;
