Date;Parcelle;Traitement;Exclos;Sous_parcelle;Medaille;Temp_eau_thermique;Temp;pH;Type_sol;Humidite_pourc;Temp_wet;Front_degel;Conductivite;Hmoyenne;Hmax_veg;Hmax_repro;Temp_vasculaires;Temp_mousses;Hobo_Out;Prof_hobo;Hobo_In;Couv_hobo;EC_Smart;Humidity_Smart;Temp_Smart;Flux_CH4;Flux_CO2;Flux_H2O;Eau;Niveau_Eau;Remarque
13/07/17;E1;PO;Exclos;;3;;;;Organique;25,2;7,1;25;;;;;;;;;;;;;;;;;;;
11/07/17;ROC7;6;Exclos;;1;;;;Organique;92,1;4,9;12;;;;;;;;;20151599;;;;;;;;;;
11/07/17;ROC7;6;Exclos;;2;;;;Organique;74,8;5;3;;;;;;;;;20151589;;;;;;;;;;
11/07/17;ROC7;6;Exclos;;3;;;;Organique;91,9;4,4;11;;;;;;;;;;;;;;;;;;;
11/07/17;ROC7;10;Exclos;;1;;;;Organique;50,4;9;18;;;;;;;;;;;;;;;;;;;
11/07/17;ROC7;10;Exclos;;2;;;;Organique;67,7;7,7;17;;;;;;;;;;;;;;;;;;;
11/07/17;ROC7;10;Exclos;;3;;;;Organique;33,4;7,2;4;;;;;;;;;;;;;;;;;;;
01/08/17;ROC7;6;Temoin;;1;;;;Organique;;;25;;;;;;;;;;;;;;;;;;;
01/08/17;ROC7;6;Exclos;;1;;;;Organique;;;11;;;;;;;;;;;;;;;;;;;
01/08/17;ROC8;6;Temoin;;1;;;;Organique;;;29;;;;;;;;;;;;;;;;;;;
01/08/17;ROC8;6;Exclos;;1;;;;Organique;;;31;;;;;;;;;;;;;;;;;;;
01/08/17;ROC8;4;Temoin;;1;;;;Organique;;;33;;;;;;;;;;;;;;;;;;;
01/08/17;ROC8;4;Exclos;;1;;;;Organique;;;31;;;;;;;;;;;;;;;;;;;
01/08/17;ROC6;14;Temoin;;1;;;;Organique;;;27;;;;;;;;;;;;;;;;;;;
01/08/17;ROC6;14;Exclos;;1;;;;Organique;;;15;;;;;;;;;;;;;;;;;;;
01/08/17;ROC6;10;Temoin;;1;;;;Organique;;;27;;;;;;;;;;;;;;;;;;;
01/08/17;ROC6;10;Exclos;;1;;;;Organique;;;23;;;;;;;;;;;;;;;;;;;
01/08/17;ROC7;14;Temoin;;1;;;;Organique;;;16;;;;;;;;;;;;;;;;;;;
01/08/17;ROC7;14;Exclos;;1;;;;Organique;;;16;;;;;;;;;;;;;;;;;;;
01/08/17;ROC7;6;Temoin;;1;;;;Organique;;;25;;;;;;;;;;;;;;;;;;;
01/08/17;ROC7;6;Exclos;;1;;;;Organique;;;11;;;;;;;;;;;;;;;;;;;
01/08/17;ROC7;10;Temoin;;1;;;;Organique;;;23;;;;;;;;;;;;;;;;;;;
01/08/17;ROC7;10;Exclos;;1;;;;Organique;;;11;;;;;;;;;;;;;;;;;;;
01/08/17;ROC7;1;Temoin;;1;;;;Organique;;;28;;;;;;;;;;;;;;;;;;;
01/08/17;ROC7;1;Exclos;;1;;;;Organique;;;24;;;;;;;;;;;;;;;;;;;
01/08/17;ROC6;6;Temoin;;1;;;;Organique;;;27;;;;;;;;;;;;;;;;;;;
01/08/17;ROC6;6;Exclos;;1;;;;Organique;;;15;;;;;;;;;;;;;;;;;;;
01/08/17;ROC6;1;Temoin;;1;;;;Organique;;;30;;;;;;;;;;;;;;;;;;;
01/08/17;ROC6;1;Exclos;;1;;;;Organique;;;20;;;;;;;;;;;;;;;;;;;
01/08/17;ROC8;10;Temoin;;1;;;;Organique;;;36;;;;;;;;;;;;;;;;;;;
01/08/17;ROC8;10;Exclos;;1;;;;Organique;;;25;;;;;;;;;;;;;;;;;;;
01/08/17;ROC8;14;Temoin;;1;;;;Organique;;;27;;;;;;;;;;;;;;;;;;;
01/08/17;ROC8;14;Exclos;;1;;;;Organique;;;15;;;;;;;;;;;;;;;;;;;
01/08/17;ROC6;4;Temoin;;1;;;;Organique;;;27;;;;;;;;;;;;;;;;;;;
01/08/17;ROC6;4;Exclos;;1;;;;Organique;;;26;;;;;;;;;;;;;;;;;;;
01/08/17;ROC7;4;Temoin;;1;;;;Organique;;;16;;;;;;;;;;;;;;;;;;;
01/08/17;ROC7;4;Exclos;;1;;;;Organique;;;16;;;;;;;;;;;;;;;;;;;
