ROC;Trt;B_NB;Motte;Biomasse
7;14;NB;2;70,1
6;4;NB;2;41,5
6;1;B;1;20,7
6;4;B;1;20,6
6;5;B;1;14,8
6;5;NB;1;57,4
6;4;NB;1;66,7
3;1;NB;2;25,8
3;1;NB;1;27,3
3;9;NB;1;1,1
6;12;B;1;21,1
6;9;NB;2;29,9
6;6;B;1;10,4
6;9;B;1;21,7
6;6;NB;2;15,9
6;6;NB;1;35,4
6;6;NB;2;17,4
6;9;B;2;5,5
6;9;B;1;5,4
6;5;NB;2;29
6;14;B;1;9,4
6;14;NB;2;16,1
6;5;B;2;8,7
6;1;NB;1;5,8
6;1;B;2;4,1
6;9;B;2;12,1
6;1;NB;2;10,6
3;12;NB;1;65,2
3;6;B;1;23,3
3;6;NB;2;36,3
3;14;NB;2;109,8
3;5;NB;2;18
3;4;NB;2;35,9
3;14;NB;1;73
3;12;B;2;17,8
3;12;NB;2;35
3;1;B;1;5,7
3;12;B;1;16,8
6;14;NB;1;54
3;1;B;2;15,6
6;14;B;2;13,9
3;9;NB;2;13,3
3;5;NB;1;28,2
3;9;B;2;10,6
3;9;B;1;13,4
4;12;B;2;9,3
4;6;NB;1;19,2
4;6;NB;2;53,7
3;4;NB;1;14,8
4;9;NB;2;28,6
3;6;B;2;12,7
3;6;NB;1;19,1
3;4;B;2;4,5
3;4;B;1;10,5
3;5;B;2;11
3;5;B;1;17,9
8;14;B;1;12,5
4;4;B;2;6,5
8;14;B;2;23,6
4;5;NB;1;7,4
3;14;B;1;79,2
3;14;B;2;60,3
4;4;NB;2;63,7
4;4;NB;1;53
4;6;B;2;19
8;14;NB;2;31,2
8;6;NB;1;36,1
8;5;NB;2;29,2
4;5;B;1;4,3
4;1;NB;1;36,8
4;4;B;1;18,8
4;6;B;1;22,1
4;12;B;1;7,9
4;9;B;1;14,4
4;14;B;2;4,7
4;5;B;2;5,5
4;1;B;1;11,4
4;9;B;2;5,5
4;14;NB;1;20
4;14;B;1;8
4;12;NB;1;40,8
4;9;NB;1;12,5
4;5;NB;2;30,3
4;12;NB;2;18,8
4;1;NB;2;27,5
4;1;B;2;19,6
4;14;NB;1;36
8;5;B;2;1,9
8;1;NB;1;34,3
8;1;B;2;15,7
8;14;NB;1;71,1
8;4;B;1;10,5
8;6;B;2;19,4
8;1;NB;2;27,3
8;6;B;1;23,8
8;12;B;2;41,4
8;1;B;1;15,3
8;4;NB;2;52,6
8;4;B;2;19,5
8;9;NB;1;26,8
8;9;B;1;5,2
8;9;B;1;2,1
8;5;NB;1;39
8;6;NB;2;16,4
8;5;NB;1;4,6
8;12;NB;1;92,3
8;12;B;1;6,9
8;9;B;2;53,3
8;12;NB;2;42,5
8;9;NB;2;33,8
5;10;NB;1;3,00000000000002
5;10;NB;2;102,5
5;10;NB;3;51,3
5;10;B;1;5,40000000000003
5;10;B;2;8,5
5;10;B;3;10,2
7;10;NB;1;23
7;10;B;3;13,3
7;10;NB;3;16,2
7;10;B;2;24,7
7;10;NB;2;14,5
7;10;B;1;16,8
6;10;B;2;2,4
6;10;B;1;2
6;10;NB;2;6,70000000000002
6;10;NB;1;8,40000000000001
3;10;B;2;5,69999999999999
3;10;NB;1;34,3
3;10;NB;2;33,9
3;10;B;1;14,7
4;10;NB;1;7,39999999999998
4;10;B;2;35,9
4;10;B;2;13,4
4;10;B;1;12,8
8;10;NB;2;70,9
8;10;NB;1;20
8;10;B;1;19,5
8;10;B;2;7,40000000000001
